"ascii_id_company","name_internat","name_native","postcode","city","city_native","country","country_iso_code","website_address","operating_revenue_turnover","number_of_employees"
"7SvZaZa7XGO/q7XHUSsWLA==","Ls electric (wuxi) co., ltd.","乐星电气（无锡）有限公司","214028","Wuxi","无锡市","China","CN","www.lsis.biz",108309741,430
"7TIflUWkUP+yPZ6RxBkEpA==","Metal Bellows","Metal Bellows","02067-1671","Sharon","Sharon","United States of America","US","www.metalbellows.com",13300000,8
"7Uzha8XaVqOKHccj3tasvg==","OC Oerlikon Corporation AG, Pfaeffikon","OC Oerlikon Corporation AG, Pfäffikon","8808","Pfaeffikon SZ","Pfäffikon SZ","Switzerland","CH","www.oerlikon.com",5164815708,19896
"7W47OEQ6XkqYjzkNtyiC/w==","Chenfull International Co., Ltd.","千附實業股份有限公司","338","Taoyuan City","桃園市蘆竹區","Taiwan, China","TW","www.chenfull.com.tw",131089195,NA
"7XtNzK3SXW2sGhxruQnm+A==","Hatfield & CO INC","Hatfield & CO INC","75032-6200","Rockwall","Rockwall","United States of America","US","www.hatfieldandcompany.com",94300000,73
"7aDBG6qKVo+Gf1wo2Zo0xQ==","Alliance Semiconductor International Corporation","Alliance Semiconductor International Corporation","95054-3003","Santa Clara","Santa Clara","United States of America","US","www.alsc.com",1660000,3
"7ahdDt3KXmaAoTwVcDnIDQ==","Solomon Systech (International) Limited","Solomon Systech (International) Limited","","Pak Shek Kok","Pak Shek Kok","Hong Kong SAR, China","HK","www.solomon-systech.com",394089000,NA
"7b+DXB1AWS+GK1R0lEIhLQ==","Turck (tianjin) technology co., ltd.","图尔克(天津)科技有限公司","300380","Tianjin","天津市","China","CN","www.turck.com.cn",112790953,1
"7eHc0wJdXF6axXc8roGcUQ==","Global PMX Co., Ltd.","智伸科技股份有限公司","221","New Taipei City","新北市汐止區","Taiwan, China","TW","www.global.com.tw",320536822,NA
"7fCeT12vUs6/x8v+sg1ZEw==","Yunnan xinyao semiconductor materials co., ltd.","云南鑫耀半导体材料有限公司","650503","Kunming","昆明市","China","CN","www.sino-ge.com",11134309,208
"7g7hL/jRW3+YEwu15HSQPg==","Ikanos Communications, Inc.","Ikanos Communications, Inc.","94538","Fermont","Fermont","United States of America","US","www.ikanos.com",191677000,386
"7gCmTr0MUnKv6X5MWqf/Dw==","Mach Corporation Co.,Ltd.","マッハコーポレーション株式会社","220-0004","Nishi-Ku Yokohama-Shi","Nishi-Ku Yokohama-Shi","Japan","JP","www.machcorp.jp",353169436,773
"7gyfpwYWV+eH7BC+YvaULg==","LEM Holding SA","LEM Holding SA","1217","Meyrin","Meyrin","Switzerland","CH","www.lem.com",445088195,1716
"7i6EYfbOVVaS7EWp+x+rtA==","Naeil System Co.,Ltd","내일시스템(주)","31215","Cheonan-si","Cheonan-si","Republic of Korea","KR","www.naeilsystem.co.kr",13382192,NA
"7iP26D70Wy+NxX7WtjpliA==","YDK Co.,Ltd.","株式会社ワイ・デー・ケー","206-0811","Inagi-Shi","Inagi-Shi","Japan","JP","www.ydkinc.co.jp",119452683,332
"7ilQDCswX+mW1C39ZUvGAQ==","SUN Electronic Industries Corporation","サン電子工業株式会社","575-0003","Shijonawate-Shi","Shijonawate-Shi","Japan","JP","www.sunelec.co.jp",76552708,338
"7nkbl/EUXweMHTmYBKxDvA==","Icos Vision Systems Corporation","Icos Vision Systems Corporation","3001","Heverlee","Heverlee","Belgium","BE","www.icos.be",139205851,NA
"7pjAHxk5VmWB58WOUQGJiw==","BCT Technology Berhad","BCT Technology Berhad","47301","Petaling Jaya","Petaling Jaya","Malaysia","MY","www.bluechipstech.com",13515288,NA
"7qM/YsQxUWGeQRuoPqrQgw==","ITO Electronic Co.,Ltd.","伊藤電子工業株式会社","991-0061","Sagae-Shi","Sagae-Shi","Japan","JP","www.ito-denshi.co.jp",84566323,NA
"7qTopwuEWcqGNlHIhAANIQ==","Isdn Holdings Limited","Isdn Holdings Limited","539222","Singapore","Singapore","Singapore","SG","www.isdnholdings.com",328716443,1052
"7rTRHX3RXNypbqztpA3Y3A==","Dongguan shiying electronics co., ltd.","东莞实英电子有限公司","523960","Dongguan","东莞市","China","CN","unixtar.com",28835880,NA
"7tquOUQjVOieRwQuUz8clQ==","Dongguan bachmann electronics co., ltd.","东莞栢民电子有限公司","523000","Dongguan","东莞市","China","CN","bachmann-group.cn",7055255,NA
"7x0w0R4DX4uya9rMmPnNgQ==","Foshan huaxin ceramic machinery co., ltd.","佛山市华信陶瓷机械有限公司","528000","Foshan","佛山市","China","CN","cnhxtj.com",32308548,NA
